method,N,K,J,rep,recovery,time_s
EM-MIP-20,500,3,10,58,0.833333,10.435
EM-MIP-20,500,3,10,59,1.000000,12.200
EM-MIP-20,500,3,10,60,0.933333,14.052
EM-MIP-20,500,3,10,61,1.000000,11.719
EM-MIP-20,500,3,10,62,0.966667,11.541
EM-MIP-20,500,3,10,63,0.966667,14.153
EM-MIP-20,500,3,10,64,0.933333,9.617
EM-MIP-20,500,3,10,65,0.966667,11.507
EM-MIP-20,500,3,10,66,0.933333,11.558
EM-MIP-20,500,3,10,67,0.966667,12.168
EM-MIP-20,500,3,10,68,0.933333,11.794
EM-MIP-20,500,3,10,69,1.000000,9.560
EM-MIP-20,500,3,10,70,1.000000,11.923
EM-MIP-20,500,3,10,71,0.866667,13.445
EM-MIP-20,500,3,10,72,1.000000,12.118
EM-MIP-20,500,3,10,73,0.966667,8.883
EM-MIP-20,500,3,10,74,1.000000,11.279
EM-MIP-20,500,3,10,75,1.000000,11.672
EM-MIP-20,500,3,10,76,0.900000,11.761
EM-MIP-20,500,3,10,77,0.966667,10.708
EM-MIP-20,500,3,10,78,0.900000,11.455
EM-MIP-20,500,3,10,79,1.000000,10.064
EM-MIP-20,500,3,10,80,0.933333,11.286
EM-MIP-20,500,3,10,81,1.000000,13.244
EM-MIP-20,500,3,10,82,0.966667,12.020
EM-MIP-20,500,3,10,83,0.933333,11.554
EM-MIP-20,500,3,10,84,1.000000,10.401
EM-MIP-20,500,3,10,85,0.933333,13.258
EM-MIP-20,500,3,10,86,0.933333,9.580
EM-MIP-20,500,3,10,87,1.000000,11.124
EM-MIP-20,500,3,10,88,1.000000,11.967
EM-MIP-20,500,3,10,89,0.966667,9.906
EM-MIP-20,500,3,10,90,1.000000,14.341
EM-MIP-20,500,3,10,91,0.933333,13.880
EM-MIP-20,500,3,10,92,1.000000,10.582
EM-MIP-20,500,3,10,93,0.933333,15.658
EM-MIP-20,500,3,10,94,0.966667,11.339
EM-MIP-20,500,3,10,95,0.966667,14.434
EM-MIP-20,500,3,10,96,0.966667,14.326
EM-MIP-20,500,3,10,97,1.000000,10.718
EM-MIP-20,500,3,10,98,0.933333,11.758
EM-MIP-20,500,3,10,99,0.933333,10.045
EM-MIP-20,500,3,10,100,1.000000,10.669
EM-MIP-20,1000,3,10,1,0.866667,14.960
EM-MIP-20,1000,3,10,2,0.866667,17.312
EM-MIP-20,1000,3,10,3,0.933333,15.430
EM-MIP-20,1000,3,10,4,0.966667,15.949
EM-MIP-20,1000,3,10,5,0.866667,15.055
EM-MIP-20,1000,3,10,6,1.000000,13.968
EM-MIP-20,1000,3,10,7,0.900000,13.350
EM-MIP-20,1000,3,10,8,0.933333,18.141
EM-MIP-20,1000,3,10,9,1.000000,14.195
EM-MIP-20,1000,3,10,10,0.966667,17.181
EM-MIP-20,1000,3,10,11,0.900000,15.957
EM-MIP-20,1000,3,10,12,0.966667,17.295
EM-MIP-20,1000,3,10,13,0.966667,14.059
EM-MIP-20,1000,3,10,14,1.000000,17.078
EM-MIP-20,1000,3,10,15,0.933333,17.747
EM-MIP-20,1000,3,10,16,0.966667,18.968
EM-MIP-20,1000,3,10,17,0.833333,18.928
EM-MIP-20,1000,3,10,18,0.900000,17.625
EM-MIP-20,1000,3,10,19,1.000000,15.490
EM-MIP-20,1000,3,10,20,0.866667,14.729
EM-MIP-20,1000,3,10,21,1.000000,13.146
EM-MIP-20,1000,3,10,22,1.000000,14.277
EM-MIP-20,1000,3,10,23,1.000000,16.596
EM-MIP-20,1000,3,10,24,1.000000,15.747
EM-MIP-20,1000,3,10,25,0.933333,16.756
EM-MIP-20,1000,3,10,26,0.966667,18.014
EM-MIP-20,1000,3,10,27,0.933333,18.720
EM-MIP-20,1000,3,10,28,0.900000,14.683
EM-MIP-20,1000,3,10,29,0.966667,15.697
EM-MIP-20,1000,3,10,30,0.933333,16.236
EM-MIP-20,1000,3,10,31,1.000000,13.644
EM-MIP-20,1000,3,10,32,0.933333,18.441
EM-MIP-20,1000,3,10,33,0.933333,14.302
EM-MIP-20,1000,3,10,34,0.966667,13.983
EM-MIP-20,1000,3,10,35,0.966667,16.016
EM-MIP-20,1000,3,10,36,0.900000,18.083
EM-MIP-20,1000,3,10,37,0.866667,14.351
EM-MIP-20,1000,3,10,38,1.000000,14.212
EM-MIP-20,1000,3,10,39,0.966667,17.627
EM-MIP-20,1000,3,10,40,1.000000,13.967
EM-MIP-20,1000,3,10,41,0.900000,16.033
EM-MIP-20,1000,3,10,42,0.933333,14.342
EM-MIP-20,1000,3,10,43,1.000000,14.139
EM-MIP-20,1000,3,10,44,0.900000,14.813
EM-MIP-20,1000,3,10,45,0.966667,15.412
EM-MIP-20,1000,3,10,46,0.966667,19.584
EM-MIP-20,1000,3,10,47,1.000000,15.242
EM-MIP-20,1000,3,10,48,1.000000,15.209
EM-MIP-20,1000,3,10,49,0.933333,14.047
EM-MIP-20,1000,3,10,50,0.933333,16.897
EM-MIP-20,1000,3,10,51,1.000000,17.215
EM-MIP-20,1000,3,10,52,0.966667,16.033
EM-MIP-20,1000,3,10,53,0.933333,13.268
EM-MIP-20,1000,3,10,54,0.966667,14.404
EM-MIP-20,1000,3,10,55,0.800000,16.550
EM-MIP-20,1000,3,10,56,0.900000,15.551
EM-MIP-20,1000,3,10,57,0.966667,14.701
EM-MIP-20,1000,3,10,58,1.000000,16.905
EM-MIP-20,1000,3,10,59,1.000000,15.963
